id,ciudad,fecha,monto_venta
430,Cúcuta,2024-12-13,45036478
431,Bogotá,2024-12-14,27412577
432,Medellín,2024-12-14,5919752
433,Cali,2024-12-14,40950092
434,Barranquilla,2024-12-14,10987315
435,Cartagena,2024-12-14,17581583
436,Bucaramanga,2024-12-14,37316928
437,Pereira,2024-12-14,39768007
438,Manizales,2024-12-14,44656383
439,Santa Marta,2024-12-14,35939660
440,Cúcuta,2024-12-14,43175242
441,Bogotá,2024-12-15,10523752
442,Medellín,2024-12-15,40189493
443,Cali,2024-12-15,9913004
444,Barranquilla,2024-12-15,23933253
445,Cartagena,2024-12-15,23073993
446,Bucaramanga,2024-12-15,13895125
447,Pereira,2024-12-15,36158766
448,Manizales,2024-12-15,38124758
449,Santa Marta,2024-12-15,16405336
450,Cúcuta,2024-12-15,10949184
451,Bogotá,2024-12-16,12875750
452,Medellín,2024-12-16,32833581
453,Cali,2024-12-16,44908780
454,Barranquilla,2024-12-16,16247723
455,Cartagena,2024-12-16,10034913
456,Bucaramanga,2024-12-16,24834234
457,Pereira,2024-12-16,29847907
458,Manizales,2024-12-16,47233748
459,Santa Marta,2024-12-16,14536798
460,Cúcuta,2024-12-16,29753633
461,Bogotá,2024-12-17,33765565
462,Medellín,2024-12-17,17388268
463,Cali,2024-12-17,9921430
464,Barranquilla,2024-12-17,33241469
465,Cartagena,2024-12-17,16540418
466,Bucaramanga,2024-12-17,28158826
467,Pereira,2024-12-17,41978493
468,Manizales,2024-12-17,11400905
469,Santa Marta,2024-12-17,29110479
470,Cúcuta,2024-12-17,7334096
471,Bogotá,2024-12-18,41365308
472,Medellín,2024-12-18,26737313
473,Cali,2024-12-18,49797177
474,Barranquilla,2024-12-18,10703769
475,Cartagena,2024-12-18,38830910
476,Bucaramanga,2024-12-18,23991395
477,Pereira,2024-12-18,15110462
478,Manizales,2024-12-18,9412835
479,Santa Marta,2024-12-18,34228302
480,Cúcuta,2024-12-18,12783310
481,Bogotá,2024-12-19,41644425
482,Medellín,2024-12-19,30913960
483,Cali,2024-12-19,37498828
484,Barranquilla,2024-12-19,41331066
485,Cartagena,2024-12-19,37995340
486,Bucaramanga,2024-12-19,32292560
487,Pereira,2024-12-19,16032794
488,Manizales,2024-12-19,20470112
489,Santa Marta,2024-12-19,18891375
490,Cúcuta,2024-12-19,11106815
491,Bogotá,2024-12-20,24530473
492,Medellín,2024-12-20,11737324
493,Cali,2024-12-20,24135702
494,Barranquilla,2024-12-20,10049186
495,Cartagena,2024-12-20,44283792
496,Bucaramanga,2024-12-20,38597507
497,Pereira,2024-12-20,48268078
498,Manizales,2024-12-20,6033872
499,Santa Marta,2024-12-20,13574206
500,Cúcuta,2024-12-20,28657669
501,Bogotá,2024-12-21,13615768
502,Medellín,2024-12-21,46166648
503,Cali,2024-12-21,39931983
504,Barranquilla,2024-12-21,26247388
505,Cartagena,2024-12-21,10639170
506,Bucaramanga,2024-12-21,38833385
507,Pereira,2024-12-21,13774302
508,Manizales,2024-12-21,49990184
509,Santa Marta,2024-12-21,46942429
510,Cúcuta,2024-12-21,10059278
511,Bogotá,2024-12-22,8600710
512,Medellín,2024-12-22,14471308
513,Cali,2024-12-22,21376111
514,Barranquilla,2024-12-22,33891945
515,Cartagena,2024-12-22,23980073
516,Bucaramanga,2024-12-22,48096951
517,Pereira,2024-12-22,25075647
518,Manizales,2024-12-22,24671588
519,Santa Marta,2024-12-22,22908696
520,Cúcuta,2024-12-22,14812317
521,Bogotá,2024-12-23,6803880
522,Medellín,2024-12-23,48603093
523,Cali,2024-12-23,15216954
524,Barranquilla,2024-12-23,10087305
525,Cartagena,2024-12-23,13576740
526,Bucaramanga,2024-12-23,6385816
527,Pereira,2024-12-23,18898869
528,Manizales,2024-12-23,33028907
529,Santa Marta,2024-12-23,26488067
530,Cúcuta,2024-12-23,31933081
531,Bogotá,2024-12-24,40314011
532,Medellín,2024-12-24,27034300
533,Cali,2024-12-24,9648146
534,Barranquilla,2024-12-24,47526472
535,Cartagena,2024-12-24,23099962
536,Bucaramanga,2024-12-24,22933708
537,Pereira,2024-12-24,15785805
538,Manizales,2024-12-24,30123868
539,Santa Marta,2024-12-24,16942954
540,Cúcuta,2024-12-24,17326266
541,Bogotá,2024-12-25,47404874
542,Medellín,2024-12-25,40609112
543,Cali,2024-12-25,26304004
544,Barranquilla,2024-12-25,5671109
545,Cartagena,2024-12-25,43121066
546,Bucaramanga,2024-12-25,32793855
547,Pereira,2024-12-25,20957147
548,Manizales,2024-12-25,21889602
549,Santa Marta,2024-12-25,6059968
550,Cúcuta,2024-12-25,13994174
551,Bogotá,2024-12-26,35364556
552,Medellín,2024-12-26,47625135
553,Cali,2024-12-26,9159931
554,Barranquilla,2024-12-26,40299662
555,Cartagena,2024-12-26,32392879
556,Bucaramanga,2024-12-26,33754034
557,Pereira,2024-12-26,18375392
558,Manizales,2024-12-26,12010698
559,Santa Marta,2024-12-26,29748731
560,Cúcuta,2024-12-26,18095877
561,Bogotá,2024-12-27,11987597
562,Medellín,2024-12-27,31522629
563,Cali,2024-12-27,22930130
564,Barranquilla,2024-12-27,32615983
565,Cartagena,2024-12-27,46407870
566,Bucaramanga,2024-12-27,33526990
567,Pereira,2024-12-27,15103151
568,Manizales,2024-12-27,38439972
569,Santa Marta,2024-12-27,15752016
570,Cúcuta,2024-12-27,48451622
571,Bogotá,2024-12-28,12761145
572,Medellín,2024-12-28,23183369
573,Cali,2024-12-28,32032043
574,Barranquilla,2024-12-28,5534683
575,Cartagena,2024-12-28,42403176
576,Bucaramanga,2024-12-28,12665443
577,Pereira,2024-12-28,39480830
578,Manizales,2024-12-28,13736961
579,Santa Marta,2024-12-28,25229678
580,Cúcuta,2024-12-28,49597794
581,Bogotá,2024-12-29,19326531
582,Medellín,2024-12-29,45444484
583,Cali,2024-12-29,18992119
584,Barranquilla,2024-12-29,24514483
585,Cartagena,2024-12-29,36840050
586,Bucaramanga,2024-12-29,6939308
587,Pereira,2024-12-29,45394425
588,Manizales,2024-12-29,34587444
589,Santa Marta,2024-12-29,35361327
590,Cúcuta,2024-12-29,46167786
591,Bogotá,2024-12-30,49836337
592,Medellín,2024-12-30,36876139
593,Cali,2024-12-30,27341984
594,Barranquilla,2024-12-30,23949676
595,Cartagena,2024-12-30,31605403
596,Bucaramanga,2024-12-30,16796705
597,Pereira,2024-12-30,18808785
598,Manizales,2024-12-30,20682739
599,Santa Marta,2024-12-30,10879587
600,Cúcuta,2024-12-30,21421918
601,Bogotá,2024-12-31,34970414
602,Medellín,2024-12-31,26980701
603,Cali,2024-12-31,46968576
604,Barranquilla,2024-12-31,39705589
605,Cartagena,2024-12-31,29666546
606,Bucaramanga,2024-12-31,37122769
607,Pereira,2024-12-31,24030979
608,Manizales,2024-12-31,17795563
609,Santa Marta,2024-12-31,42173934
610,Cúcuta,2024-12-31,42896660
611,Bogotá,2025-01-01,46194957
612,Medellín,2025-01-01,18292401
613,Cali,2025-01-01,45853624
614,Barranquilla,2025-01-01,34914623
615,Cartagena,2025-01-01,35867924
616,Bucaramanga,2025-01-01,19945369
617,Pereira,2025-01-01,40257524
618,Manizales,2025-01-01,21705001
619,Santa Marta,2025-01-01,26746795
620,Cúcuta,2025-01-01,12996565
621,Bogotá,2025-01-02,31054014
622,Medellín,2025-01-02,14081361
623,Cali,2025-01-02,28868183
624,Barranquilla,2025-01-02,36069367
625,Cartagena,2025-01-02,42434379
626,Bucaramanga,2025-01-02,12827494
627,Pereira,2025-01-02,29757100
628,Manizales,2025-01-02,39498853
629,Santa Marta,2025-01-02,34427914
630,Cúcuta,2025-01-02,47566483
631,Bogotá,2025-01-03,35592092
632,Medellín,2025-01-03,12625304
633,Cali,2025-01-03,17670333
634,Barranquilla,2025-01-03,27073463
635,Cartagena,2025-01-03,47316623
636,Bucaramanga,2025-01-03,15206943
637,Pereira,2025-01-03,29562014
638,Manizales,2025-01-03,36786477
639,Santa Marta,2025-01-03,7325138
640,Cúcuta,2025-01-03,40695411
641,Bogotá,2025-01-04,6033812
642,Medellín,2025-01-04,34488615
643,Cali,2025-01-04,47062704
644,Barranquilla,2025-01-04,32205966
645,Cartagena,2025-01-04,42201714
646,Bucaramanga,2025-01-04,25577943
647,Pereira,2025-01-04,25380101
648,Manizales,2025-01-04,14734627
649,Santa Marta,2025-01-04,48344121
650,Cúcuta,2025-01-04,47700408
651,Bogotá,2025-01-05,25666205
652,Medellín,2025-01-05,41973217
653,Cali,2025-01-05,34514838
654,Barranquilla,2025-01-05,18938538
655,Cartagena,2025-01-05,8848619
656,Bucaramanga,2025-01-05,33156444
657,Pereira,2025-01-05,24001587
658,Manizales,2025-01-05,49098252
659,Santa Marta,2025-01-05,16324576
660,Cúcuta,2025-01-05,7410186
661,Bogotá,2025-01-06,47899708
662,Medellín,2025-01-06,33914429
663,Cali,2025-01-06,6370081
664,Barranquilla,2025-01-06,28856202
665,Cartagena,2025-01-06,24943857
666,Bucaramanga,2025-01-06,36335871
667,Pereira,2025-01-06,46716813
668,Manizales,2025-01-06,43453267
669,Santa Marta,2025-01-06,24189142
670,Cúcuta,2025-01-06,29242128
671,Bogotá,2025-01-07,23936432
672,Medellín,2025-01-07,40978626
673,Cali,2025-01-07,7994042
674,Barranquilla,2025-01-07,31565498
675,Cartagena,2025-01-07,39845103
676,Bucaramanga,2025-01-07,43401531
677,Pereira,2025-01-07,33663847
678,Manizales,2025-01-07,40470179
679,Santa Marta,2025-01-07,19411810
680,Cúcuta,2025-01-07,39041474
681,Bogotá,2025-01-08,27731745
682,Medellín,2025-01-08,19912969
683,Cali,2025-01-08,11656726
684,Barranquilla,2025-01-08,8489365
685,Cartagena,2025-01-08,9575793
686,Bucaramanga,2025-01-08,23204427
687,Pereira,2025-01-08,46594224
688,Manizales,2025-01-08,15537279
689,Santa Marta,2025-01-08,12785166
690,Cúcuta,2025-01-08,13623595
691,Bogotá,2025-01-09,7821503
692,Medellín,2025-01-09,8595683
693,Cali,2025-01-09,6226113
694,Barranquilla,2025-01-09,8656070
695,Cartagena,2025-01-09,41047905
696,Bucaramanga,2025-01-09,49204268
697,Pereira,2025-01-09,13529741
698,Manizales,2025-01-09,12567516
699,Santa Marta,2025-01-09,32612393
700,Cúcuta,2025-01-09,45774224
701,Bogotá,2025-01-10,29603106
702,Medellín,2025-01-10,37631351
703,Cali,2025-01-10,26926096
704,Barranquilla,2025-01-10,26784209
705,Cartagena,2025-01-10,37835552
706,Bucaramanga,2025-01-10,39747682
707,Pereira,2025-01-10,15487216
708,Manizales,2025-01-10,17045784
709,Santa Marta,2025-01-10,45823315
710,Cúcuta,2025-01-10,35562249
711,Bogotá,2025-01-11,17528826
712,Medellín,2025-01-11,45539833
713,Cali,2025-01-11,7266303
714,Barranquilla,2025-01-11,20955121
715,Cartagena,2025-01-11,5140665
716,Bucaramanga,2025-01-11,9784981
717,Pereira,2025-01-11,28080682
718,Manizales,2025-01-11,46108060
719,Santa Marta,2025-01-11,33255138
720,Cúcuta,2025-01-11,47610905
721,Bogotá,2025-01-12,41251849
722,Medellín,2025-01-12,40413081
723,Cali,2025-01-12,33840550
724,Barranquilla,2025-01-12,36741838
725,Cartagena,2025-01-12,22493326
726,Bucaramanga,2025-01-12,10889008
727,Pereira,2025-01-12,33557839
728,Manizales,2025-01-12,48676736
729,Santa Marta,2025-01-12,30110446
730,Cúcuta,2025-01-12,30712542
731,Bogotá,2025-01-13,46195013
732,Medellín,2025-01-13,39034174
733,Cali,2025-01-13,35127239
734,Barranquilla,2025-01-13,22430083
735,Cartagena,2025-01-13,47948380
